	restaurante	seccion	platos	precios	platos_lower	seccion_lower
2	Bazaar	Las tapas del BAZAAR para compartir	Gyozas de verduras con kimchie de fresas y col kale crujiente	6,95 €	gyozas de verduras con kimchie de fresas y col kale crujiente	las tapas del bazaar para compartir
3	Bazaar	Las tapas del BAZAAR para compartir	Croquetas de setas de temporada	7,75 €	croquetas de setas de temporada	las tapas del bazaar para compartir
4	Bazaar	Las tapas del BAZAAR para compartir	Tartar de atún estilo Bazaar	8,45 €	tartar de atún estilo bazaar	las tapas del bazaar para compartir
5	Bazaar	Las tapas del BAZAAR para compartir	Alcachofas blancas de Tudela con langostinos pelados	9,95 €	alcachofas blancas de tudela con langostinos pelados	las tapas del bazaar para compartir
6	Bazaar	Para entrar con buen pie	Gazpacho andaluz con picatostes y veduritas	5,95 €	gazpacho andaluz con picatostes y veduritas	para entrar con buen pie
7	Bazaar	Para entrar con buen pie	Ensalada griega con queso feta, cous-cous, pan pita y hummus	7,95 €	ensalada griega con queso feta, cous-cous, pan pita y hummus	para entrar con buen pie
8	Bazaar	Para entrar con buen pie	Ensalada con virutas de cabra, mango, granola y vinagreta de mie	8,05 €	ensalada con virutas de cabra, mango, granola y vinagreta de mie	para entrar con buen pie
9	Bazaar	Para entrar con buen pie	Mousse de foie con queso de cabra gratinado	8,65 €	mousse de foie con queso de cabra gratinado	para entrar con buen pie
10	Bazaar	Para entrar con buen pie	Las tres ensaladas con queso fresco y piñones a la vinagreta de albahaca	8,9 €	las tres ensaladas con queso fresco y piñones a la vinagreta de albahaca	para entrar con buen pie
11	Bazaar	Para entrar con buen pie	Ensalada de algas marinas con atún y sésamo	8,95 €	ensalada de algas marinas con atún y sésamo	para entrar con buen pie
12	Bazaar	Para entrar con buen pie	Verdura a la plancha con romesco de nueces	8,9 €	verdura a la plancha con romesco de nueces	para entrar con buen pie
13	Bazaar	Para entrar con buen pie	Nuestra ensalada especial de huevo pochê con bacon, vinagreta y olivada casera	8,95 €	nuestra ensalada especial de huevo pochê con bacon, vinagreta y olivada casera	para entrar con buen pie
14	Bazaar	Nuestras pastas y arroces	Macarrones con boloñesa vegana Coreana de shitake y ajetes frescos	7,85 €	macarrones con boloñesa vegana coreana de shitake y ajetes frescos	nuestras pastas y arroces
15	Bazaar	Nuestras pastas y arroces	Yakisoba de calamar, gambitas, verduras wok y katsoubushi	9,85 €	yakisoba de calamar, gambitas, verduras wok y katsoubushi	nuestras pastas y arroces
16	Bazaar	Nuestras pastas y arroces	Spaghetti con salsa de gambas picante	8,85 €	spaghetti con salsa de gambas picante	nuestras pastas y arroces
17	Bazaar	Nuestras pastas y arroces	Risotto de setas con queso parmesano	9,35 €	risotto de setas con queso parmesano	nuestras pastas y arroces
18	Bazaar	Carnes con carácter...	Tiras de pollo crispie con dos salsas	8,3 €	tiras de pollo crispie con dos salsas	carnes con carácter...
19	Bazaar	Carnes con carácter...	Pollo al curry con fideos sothangon	9,9 €	pollo al curry con fideos sothangon	carnes con carácter...
20	Bazaar	Carnes con carácter...	Hamburguesa de ternera con camembert y cebolla bien caramelizada	10,6 €	hamburguesa de ternera con camembert y cebolla bien caramelizada	carnes con carácter...
21	Bazaar	Carnes con carácter...	Canelón de carrillada de ternera al Pedro Ximénez	11,15 €	canelón de carrillada de ternera al pedro ximénez	carnes con carácter...
22	Bazaar	Carnes con carácter...	Lomo de ternera con salsa de vino, setas y parmentier de patata	11,6 €	lomo de ternera con salsa de vino, setas y parmentier de patata	carnes con carácter...
23	Bazaar	Carnes con carácter...	Buey tierno con parmesano, rúcula, cebolla asada y vinagreta balsámica	11,85 €	buey tierno con parmesano, rúcula, cebolla asada y vinagreta balsámica	carnes con carácter...
24	Bazaar	Carnes con carácter...	Las tres carnes braseadas con fideos Thai	11,95 €	las tres carnes braseadas con fideos thai	carnes con carácter...
25	Bazaar	Carnes con carácter...	Salsa a elegir: pimienta verde o quesos	1 €	salsa a elegir: pimienta verde o quesos	carnes con carácter...
26	Bazaar	Productos del mar...	Pulpitos encebollados sobre patatas confitadas	10,95 €	pulpitos encebollados sobre patatas confitadas	productos del mar...
27	Bazaar	Productos del mar...	Bacalao gratinado con ali-oli de pera	12,65 €	bacalao gratinado con ali-oli de pera	productos del mar...
28	Bazaar	Productos del mar...	Tataki de atún con tartar de mango, tomate, cilantro y siracha	11,85 €	tataki de atún con tartar de mango, tomate, cilantro y siracha	productos del mar...
29	Bazaar	Productos del mar...	Salmón a la plancha con trompetas de los muertos, calabacines, ajetes y sal de curri	12,9 €	salmón a la plancha con trompetas de los muertos, calabacines, ajetes y sal de curri	productos del mar...
30	Bazaar	Productos del mar...	Bacalao confitado con aceite de ajo y sepia	12,85 €	bacalao confitado con aceite de ajo y sepia	productos del mar...
31	Bazaar	Postre	Mini fondue de chocolate con brochetas de frutas frescas	4,75 €	mini fondue de chocolate con brochetas de frutas frescas	postre
32	Bazaar	Postre	Sorbete de limón (con cava +1€)	4,9 €	sorbete de limón (con cava +1€)	postre
33	Bazaar	Postre	Copa mango, mango y mas mango con lima crispie	5,5 €	copa mango, mango y mas mango con lima crispie	postre
34	Bazaar	Postre	Tarta al chocolate al estilo del señor Patubo	4,6 €	tarta al chocolate al estilo del señor patubo	postre
35	Bazaar	Postre	Pastel de nueces con chocolate caliente	4,95 €	pastel de nueces con chocolate caliente	postre
36	Bazaar	Postre	Tarta Sacher con chocolate caliente	5,35 €	tarta sacher con chocolate caliente	postre
37	Bazaar	Postre	Los íssimos del Bazaar	5,1 €	los íssimos del bazaar	postre
38	Bazaar	Postre	Tarta de mascarpone con fresas y helado de cacao	5,25 €	tarta de mascarpone con fresas y helado de cacao	postre
39	Bazaar	Postre	Tarta de queso al coulis de fruta	5,35 €	tarta de queso al coulis de fruta	postre
40	Bazaar	Postre	Chocolatísimo	5,2 €	chocolatísimo	postre
41	Bazaar	seccion_bebidas	Café	2 €	café	seccion_bebidas
42	Bazaar	seccion_bebidas	Media botella de agua	2,2 €	media botella de agua	seccion_bebidas
43	Bazaar	seccion_bebidas	Botella de vino	14 €	botella de vino	seccion_bebidas
44	Bazaar	seccion_bebidas	Copa de vino	2,5 €	copa de vino	seccion_bebidas
0	Boho Bar	Compartir... o no?	May (1 ud) Empanada colombiana, pollo desmechado y ketchup vietnamita	5,2 €	may (1 ud) empanada colombiana, pollo desmechado y ketchup vietnamita	compartir... o no?
1	Boho Bar	Compartir... o no?	Tequeños (4 uds.) Barritas de queso fundido, mojo canario	8,9 €	tequeños (4 uds.) barritas de queso fundido, mojo canario	compartir... o no?
2	Boho Bar	Compartir... o no?	Croquetas (8 uds.) Jamón en panko japonés	9,5 €	croquetas (8 uds.) jamón en panko japonés	compartir... o no?
3	Boho Bar	Compartir... o no?	Lomitos de Sardinas Ahumadas (4 uds.) Pan horneado, crema de salmorejo	9,9 €	lomitos de sardinas ahumadas (4 uds.) pan horneado, crema de salmorejo	compartir... o no?
4	Boho Bar	Compartir... o no?	Burrata con tartar de tomate y pesto Rosso	12,5 €	burrata con tartar de tomate y pesto rosso	compartir... o no?
5	Boho Bar	Compartir... o no?	Gyozas Hokkaido (6 uds.) Langostinos, verduras y Salasa Yakiniku	10,5 €	gyozas hokkaido (6 uds.) langostinos, verduras y salasa yakiniku	compartir... o no?
6	Boho Bar	Compartir... o no?	Pinchos Morunos Ras al Hanut (4 uds.) Pollo, Mojo verde, siracha, yogurt y menta	12,5 €	pinchos morunos ras al hanut (4 uds.) pollo, mojo verde, siracha, yogurt y menta	compartir... o no?
7	Boho Bar	Compartir... o no?	Primavera Thai (3 uds.) Rollitos de verduras, salsa sweet chili thai	9,5 €	primavera thai (3 uds.) rollitos de verduras, salsa sweet chili thai	compartir... o no?
8	Boho Bar	Compartir... o no?	Huevos rotos con patatas, trufa, foie y jamón	12 €	huevos rotos con patatas, trufa, foie y jamón	compartir... o no?
9	Boho Bar	Ensaladas - Zona Fresh :)	Salmorejo (Jamón y huevo)	7,9 €	salmorejo (jamón y huevo)	ensaladas - zona fresh :)
10	Boho Bar	Ensaladas - Zona Fresh :)	Tabuleh (Cous-cous, queso feta, verduritas y cilantro)	9,5 €	tabuleh (cous-cous, queso feta, verduritas y cilantro)	ensaladas - zona fresh :)
11	Boho Bar	Ensaladas - Zona Fresh :)	Rojo Pasión (Tomate, fresas, rúcula y aguacate)	9,5 €	rojo pasión (tomate, fresas, rúcula y aguacate)	ensaladas - zona fresh :)
12	Boho Bar	Ensaladas - Zona Fresh :)	Timbal de langostinos (Espinacas, quinoa, frutos secos, vinagreta de mostaza y miel)	12 €	timbal de langostinos (espinacas, quinoa, frutos secos, vinagreta de mostaza y miel)	ensaladas - zona fresh :)
13	Boho Bar	Pizza y Pasta	La Perla del Caribe (2 uds) Arepas venezolanas, ropavieja cubana, mahonesa Thai y cilantro	12,5 €	la perla del caribe (2 uds) arepas venezolanas, ropavieja cubana, mahonesa thai y cilantro	pizza y pasta
14	Boho Bar	Pizza y Pasta	Canelones de Rabo de Toro con bechamel de parmesano	14,5 €	canelones de rabo de toro con bechamel de parmesano	pizza y pasta
15	Boho Bar	Pizza y Pasta	Coca Pizza de setas y trufa o de jamón	12,5 €	coca pizza de setas y trufa o de jamón	pizza y pasta
16	Boho Bar	Pizza y Pasta	Pad Thai (Wok de Noodles, langostinos. pollo y cilantro)	12,9 €	pad thai (wok de noodles, langostinos. pollo y cilantro)	pizza y pasta
17	Boho Bar	Sabor a Mar	Koh Phi Phi Prawns (langostinos, curry thai, coco, piña y arroz jazmín)	14 €	koh phi phi prawns (langostinos, curry thai, coco, piña y arroz jazmín)	sabor a mar
18	Boho Bar	Sabor a Mar	Tartar de atún al estilo Boho (con aguacate y tartar de tomate)	15 €	tartar de atún al estilo boho (con aguacate y tartar de tomate)	sabor a mar
19	Boho Bar	Sabor a Mar	Chipirones Umami (Pisto, causa limeña-ibicenca de frutos del bosque y piña asada con salsa Kabayaki)	14,5 €	chipirones umami (pisto, causa limeña-ibicenca de frutos del bosque y piña asada con salsa kabayaki)	sabor a mar
20	Boho Bar	Sabor a Mar	Akana Poke Bowl (Salmón marinado, verduritas, arroz sushi-zu)	13,5 €	akana poke bowl (salmón marinado, verduritas, arroz sushi-zu)	sabor a mar
21	Boho Bar	Sabor a Mar	Salmón Teriyaki (en Costra de sésamo, quinoa, verduritas y frutos rojos)	13,5 €	salmón teriyaki (en costra de sésamo, quinoa, verduritas y frutos rojos)	sabor a mar
22	Boho Bar	Sabor a Mar	Pulpo a la parrilla con papas arrugás y pimentón de la Vera	16 €	pulpo a la parrilla con papas arrugás y pimentón de la vera	sabor a mar
23	Boho Bar	Carnes	Twister Boho Burger con rulo de cabra, pesto Rosso y tornado de patata	12,5 €	twister boho burger con rulo de cabra, pesto rosso y tornado de patata	carnes
24	Boho Bar	Carnes	Kofta (Albóndigas persas lacadas en Teriyaki de miel de flores, cous cous cítrico y salsa Tzatziki)	13,5 €	kofta (albóndigas persas lacadas en teriyaki de miel de flores, cous cous cítrico y salsa tzatziki)	carnes
25	Boho Bar	Carnes	Tataki de Presa Ibérica con migas Japo-Extremeñas	16 €	tataki de presa ibérica con migas japo-extremeñas	carnes
26	Boho Bar	Carnes	Pollo Tikka Massala con arroz Pilaw	13,5 €	pollo tikka massala con arroz pilaw	carnes
27	Boho Bar	Carnes	Katxopo-Katsu (Cachopín de ternera, jamón y queso y papas arrugás con mojo canario)	15 €	katxopo-katsu (cachopín de ternera, jamón y queso y papas arrugás con mojo canario)	carnes
28	Boho Bar	Carnes	Tacos Bulgogi (4 uds.) Asado de costilla Ibérica, BBQ Coreana y cilantro	13 €	tacos bulgogi (4 uds.) asado de costilla ibérica, bbq coreana y cilantro	carnes
29	Boho Bar	Postres	Full Moon Party (Gofre de choco-dulce de leche, helado de algodón de azúcar y Peta Zetas)	6 €	full moon party (gofre de choco-dulce de leche, helado de algodón de azúcar y peta zetas)	postres
30	Boho Bar	Postres	Flower Power (Senillas de chía, yogurt y frutos rojos)	5,5 €	flower power (senillas de chía, yogurt y frutos rojos)	postres
31	Boho Bar	Postres	Original Brownie con helado de Vainilla	5,5 €	original brownie con helado de vainilla	postres
32	Boho Bar	Postres	Boho Carrot Cake con coko rallado	5,5 €	boho carrot cake con coko rallado	postres
33	Boho Bar	Postres	Leche, Cacao y Galletas (Crema de galleta, helado de leche fresca y espuma de cacao)	5,5 €	leche, cacao y galletas (crema de galleta, helado de leche fresca y espuma de cacao)	postres
34	Boho Bar	Postres	Bohemian Cheesecake	5,5 €	bohemian cheesecake	postres
35	Boho Bar	Postres	Coulant au Chocolat con helado de violetas	6 €	coulant au chocolat con helado de violetas	postres
36	Boho Bar	Postres	Sorbetes y Helados	5 €	sorbetes y helados	postres
37	Boho Bar	seccion_bebidas	Botella de champán	36 €	botella de champán	seccion_bebidas
38	Boho Bar	seccion_bebidas	Café	1,7 €	café	seccion_bebidas
39	Boho Bar	seccion_bebidas	Media botella de agua	2 €	media botella de agua	seccion_bebidas
40	Boho Bar	seccion_bebidas	Botella de vino	15 €	botella de vino	seccion_bebidas
41	Boho Bar	seccion_bebidas	Copa de vino	3 €	copa de vino	seccion_bebidas
0	Bosco de Lobos	Tapas	Croquetas de berenjena y parmigiano (6 unidades)	6 €	croquetas de berenjena y parmigiano (6 unidades)	tapas
1	Bosco de Lobos	Tapas	Focaccia de stracchino, prosciutto di parma, rúcula y tomate semi-seco	8 €	focaccia de stracchino, prosciutto di parma, rúcula y tomate semi-seco	tapas
2	Bosco de Lobos	Tapas	Mejillones con hierbas, tomate cherry, Martini blanco y cítrico	9 €	mejillones con hierbas, tomate cherry, martini blanco y cítrico	tapas
3	Bosco de Lobos	Tapas	Alcachofas fritas	7 €	alcachofas fritas	tapas
4	Bosco de Lobos	Tapas	Patatas Buthan (patatas bravas del Himalaya)	8 €	patatas buthan (patatas bravas del himalaya)	tapas
5	Bosco de Lobos	Tapas	Tortitas de maíz, sashimi de atún y mayonesa de chipotle	11 €	tortitas de maíz, sashimi de atún y mayonesa de chipotle	tapas
6	Bosco de Lobos	Tapas	Ceviche de pescado blanco con ají amarillo. naranja y sal negra	10 €	ceviche de pescado blanco con ají amarillo. naranja y sal negra	tapas
7	Bosco de Lobos	Tapas	Fritura de calamar y lima	12 €	fritura de calamar y lima	tapas
8	Bosco de Lobos	Tapas	Canelón de espinacas con pasas y piñones	7 €	canelón de espinacas con pasas y piñones	tapas
9	Bosco de Lobos	Sopas & Ensaladas	Ensalada templada de quinoa con verduras crujientes	11 €	ensalada templada de quinoa con verduras crujientes	sopas & ensaladas
10	Bosco de Lobos	Sopas & Ensaladas	Ensalada de burrata con berenjena ahumada	12 €	ensalada de burrata con berenjena ahumada	sopas & ensaladas
11	Bosco de Lobos	Sopas & Ensaladas	Cogollos templados a la bagnacauda (salsa de anchoas)	8 €	cogollos templados a la bagnacauda (salsa de anchoas)	sopas & ensaladas
12	Bosco de Lobos	Sopas & Ensaladas	Ensalada de pimientos asados con atún confitado en escabeche	11 €	ensalada de pimientos asados con atún confitado en escabeche	sopas & ensaladas
13	Bosco de Lobos	Carpaccio	Carpaccio clásico de ternera con salsa cipriani	13 €	carpaccio clásico de ternera con salsa cipriani	carpaccio
14	Bosco de Lobos	Carpaccio	Carpaccio de pescado blanco con salsa oriental, jengibre y chili	12 €	carpaccio de pescado blanco con salsa oriental, jengibre y chili	carpaccio
15	Bosco de Lobos	Carpaccio	Tartar de atún con cítricos	14 €	tartar de atún con cítricos	carpaccio
16	Bosco de Lobos	Pizzas	Verduas a la brasa con masa de harina integral	13 €	verduas a la brasa con masa de harina integral	pizzas
17	Bosco de Lobos	Pizzas	Margherita	10 €	margherita	pizzas
18	Bosco de Lobos	Pizzas	Porchetta, berenjena con salsa de miel y mostaza	13 €	porchetta, berenjena con salsa de miel y mostaza	pizzas
19	Bosco de Lobos	Pizzas	Marinara (sin queso, con anchoas y alcaparras)	13 €	marinara (sin queso, con anchoas y alcaparras)	pizzas
20	Bosco de Lobos	Pizzas	Calzone cotto e funghi	12 €	calzone cotto e funghi	pizzas
21	Bosco de Lobos	Pizzas	Ricotta, anchoas y flor de calabacín	14 €	ricotta, anchoas y flor de calabacín	pizzas
22	Bosco de Lobos	Pizzas	Pizza de panceta y espárragos	12 €	pizza de panceta y espárragos	pizzas
23	Bosco de Lobos	Pastas	Lasagna clásica bolognesa	11 €	lasagna clásica bolognesa	pastas
24	Bosco de Lobos	Pastas	Pappardelle con ragú de carne al vino tinto	12 €	pappardelle con ragú de carne al vino tinto	pastas
25	Bosco de Lobos	Pastas	Pappardelle al nero di sepia	13 €	pappardelle al nero di sepia	pastas
26	Bosco de Lobos	Pastas	Spaghetti carbonara	13 €	spaghetti carbonara	pastas
27	Bosco de Lobos	Pastas	Spaghetti vongole (tomates cherry y almejas)	14 €	spaghetti vongole (tomates cherry y almejas)	pastas
28	Bosco de Lobos	Risottos	Setas de temporada (20 min)	17 €	setas de temporada (20 min)	risottos
29	Bosco de Lobos	Risottos	Caldo de cigala con su carpaccio (20 min)	18 €	caldo de cigala con su carpaccio (20 min)	risottos
30	Bosco de Lobos	Carne y Pescado	Tagliata de ternera con patata rústica	19 €	tagliata de ternera con patata rústica	carne y pescado
31	Bosco de Lobos	Carne y Pescado	Hamburguesa Bosco con pesto, tomate seco y patatas fritas	11 €	hamburguesa bosco con pesto, tomate seco y patatas fritas	carne y pescado
32	Bosco de Lobos	Carne y Pescado	Streak Tartar con salsa de estragón y verduritas	18 €	streak tartar con salsa de estragón y verduritas	carne y pescado
33	Bosco de Lobos	Carne y Pescado	Pollo entero a la brasa con puré de patata y pico de gallo de cilantro y piñones	16 €	pollo entero a la brasa con puré de patata y pico de gallo de cilantro y piñones	carne y pescado
34	Bosco de Lobos	Carne y Pescado	Bonito con cremoso de patata y setas	16 €	bonito con cremoso de patata y setas	carne y pescado
35	Bosco de Lobos	Carne y Pescado	Merluza al horno con gratén de hinojo	16 €	merluza al horno con gratén de hinojo	carne y pescado
0	Dionisos	Entrante	Pikilia: surtido de tapas griegas	8,15 €	pikilia: surtido de tapas griegas	entrante
1	Dionisos	Entrante	Risotto aegiopelagitiko: arroz con marisco al estilo de las islas	8,91 €	risotto aegiopelagitiko: arroz con marisco al estilo de las islas	entrante
2	Dionisos	Entrante	Hilopites: tagliatelle al estilo griego con tomate, olivada, orégano y queso Feta	7,83 €	hilopites: tagliatelle al estilo griego con tomate, olivada, orégano y queso feta	entrante
3	Dionisos	Plato	Exohico de pollo: hojaldre griego relleno de cordero, verduras y queso	9,72 €	exohico de pollo: hojaldre griego relleno de cordero, verduras y queso	plato
4	Dionisos	Plato	Garides mikrolimano: gambas cocidas al estilo del puerto de Mikrolimano	13,6 €	garides mikrolimano: gambas cocidas al estilo del puerto de mikrolimano	plato
5	Dionisos	Plato	Paidakia de cordero: costillitas de cordero a la parrilla	12,9 €	paidakia de cordero: costillitas de cordero a la parrilla	plato
6	Dionisos	Postre	Baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela	3,78 €	baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela	postre
7	Dionisos	Postre	Baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela	4,43 €	baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela	postre
8	Dionisos	Postre	Karidopita: tarta de chocolate y nueces con helado de anís ouzo y salsa de chocolate	4,32 €	karidopita: tarta de chocolate y nueces con helado de anís ouzo y salsa de chocolate	postre
9	Dionisos	seccion_bebidas	Botella de champán	17,45 €	botella de champán	seccion_bebidas
10	Dionisos	seccion_bebidas	Café	1,2 €	café	seccion_bebidas
11	Dionisos	seccion_bebidas	Botella de agua	1,5 €	botella de agua	seccion_bebidas
12	Dionisos	seccion_bebidas	Botella de vino	6,7 €	botella de vino	seccion_bebidas
13	Dionisos	seccion_bebidas	Copa de vino	2,75 €	copa de vino	seccion_bebidas
0	Food Truck	Entrante	Nachos	12 €	nachos	entrante
1	Food Truck	Entrante	Palos de queso	6,5 €	palos de queso	entrante
2	Food Truck	Entrante	Patata asada	6,5 €	patata asada	entrante
3	Food Truck	Plato	Costiburger (250gr de carne de vaca y 250gr de costilla de cerdo, salsabarbacoa, cebolla roja y pepinillo)	12 €	costiburger (250gr de carne de vaca y 250gr de costilla de cerdo, salsabarbacoa, cebolla roja y pepinillo)	plato
4	Food Truck	Plato	Portobello burger (carne de vaca, champiñon y chedar con cerveza Guinnes)	9 €	portobello burger (carne de vaca, champiñon y chedar con cerveza guinnes)	plato
5	Food Truck	Plato	Phillly Cheesteak	6,5 €	phillly cheesteak	plato
6	Food Truck	Postre	Tarta de zanahoria	4 €	tarta de zanahoria	postre
7	Food Truck	Postre	Tarta de queso con Nutella	4 €	tarta de queso con nutella	postre
8	Food Truck	Postre	Tarta de chocolate con cerveza Guinnes	4 €	tarta de chocolate con cerveza guinnes	postre
9	Food Truck	seccion_bebidas	Café	1 €	café	seccion_bebidas
10	Food Truck	seccion_bebidas	Media botella de agua	1,3 €	media botella de agua	seccion_bebidas
0	Gioia Restaurante	Nuestros Entrantes	Uovo Morbido	15 €	uovo morbido	nuestros entrantes
1	Gioia Restaurante	Nuestros Entrantes	Vitel Tuné	15 €	vitel tuné	nuestros entrantes
2	Gioia Restaurante	Nuestros Entrantes	La Nostra Burrata	16 €	la nostra burrata	nuestros entrantes
3	Gioia Restaurante	Nuestros Entrantes	Insalata al Mezzo Astice	19 €	insalata al mezzo astice	nuestros entrantes
4	Gioia Restaurante	Nuestros Entrantes	Il Mio Viaggio sull'Etna	20 €	il mio viaggio sull'etna	nuestros entrantes
5	Gioia Restaurante	Nuestros Entrantes	Assiette Piemontese	25 €	assiette piemontese	nuestros entrantes
6	Gioia Restaurante	Nuestros Entrantes	My Happy Veal	23 €	my happy veal	nuestros entrantes
7	Gioia Restaurante	Nuestras Pastas y Arroces	Tagliolini al Tartufo	23 €	tagliolini al tartufo	nuestras pastas y arroces
8	Gioia Restaurante	Nuestras Pastas y Arroces	Agnolotti del Plin	19 €	agnolotti del plin	nuestras pastas y arroces
9	Gioia Restaurante	Nuestras Pastas y Arroces	Tortelli di Burrata	21 €	tortelli di burrata	nuestras pastas y arroces
10	Gioia Restaurante	Nuestras Pastas y Arroces	Riso e Oro	25 €	riso e oro	nuestras pastas y arroces
11	Gioia Restaurante	Nuestras Pastas y Arroces	La Carbonara by Davide Bonato	19 €	la carbonara by davide bonato	nuestras pastas y arroces
12	Gioia Restaurante	Nuestras Pastas y Arroces	Pappardelle Ostriche e Porcini	25 €	pappardelle ostriche e porcini	nuestras pastas y arroces
13	Gioia Restaurante	Nuestras Pastas y Arroces	Tagliatelle al Ragú Bianco alla Piemontese	18 €	tagliatelle al ragú bianco alla piemontese	nuestras pastas y arroces
14	Gioia Restaurante	Nuestros Segundos	Ossobuco alla Piemontese	25 €	ossobuco alla piemontese	nuestros segundos
15	Gioia Restaurante	Nuestros Segundos	Filetto	28 €	filetto	nuestros segundos
16	Gioia Restaurante	Nuestros Segundos	Piccione laccato al Ratafiá	32 €	piccione laccato al ratafiá	nuestros segundos
17	Gioia Restaurante	Nuestros Segundos	Wagyu 54	25 €	wagyu 54	nuestros segundos
18	Gioia Restaurante	Nuestros Segundos	Tonno Rosso del Mediterráneo	23 €	tonno rosso del mediterráneo	nuestros segundos
19	Gioia Restaurante	Nuestros Segundos	Baccalá Nero dell'Alaska	26 €	baccalá nero dell'alaska	nuestros segundos
20	Gioia Restaurante	Nuestros Postres	Il nostro Tiramisú	8 €	il nostro tiramisú	nuestros postres
